INFO 2025-08-13 09:10:42,171 basehttp 6924 7316 "OPTIONS /api/categories/ HTTP/1.1" 200 0
INFO 2025-08-13 09:10:42,178 basehttp 6924 13004 "OPTIONS /api/shops/ HTTP/1.1" 200 0
INFO 2025-08-13 09:10:42,181 basehttp 6924 11160 "OPTIONS /api/colors/ HTTP/1.1" 200 0
INFO 2025-08-13 09:10:42,182 basehttp 6924 7488 "OPTIONS /api/products/?page=1&min_price=0&max_price=1000 HTTP/1.1" 200 0
INFO 2025-08-13 09:10:42,182 basehttp 6924 15728 "OPTIONS /api/shops/ HTTP/1.1" 200 0
INFO 2025-08-13 09:10:42,182 basehttp 6924 13420 "OPTIONS /api/categories/ HTTP/1.1" 200 0
INFO 2025-08-13 09:10:42,192 basehttp 6924 7316 "OPTIONS /api/colors/ HTTP/1.1" 200 0
INFO 2025-08-13 09:10:42,204 basehttp 6924 13004 "OPTIONS /api/products/?page=1&min_price=0&max_price=1000 HTTP/1.1" 200 0
INFO 2025-08-13 09:10:42,208 views 6924 11160 CategoryViewSet.list called with params: <QueryDict: {}>
INFO 2025-08-13 09:10:42,210 views 6924 7488 ShopViewSet.list called with params: <QueryDict: {}>
INFO 2025-08-13 09:10:42,214 views 6924 13420 ProductViewSet.list called with params: <QueryDict: {'page': ['1'], 'min_price': ['0'], 'max_price': ['1000']}>
INFO 2025-08-13 09:10:42,216 views 6924 15728 ColorViewSet.list called with params: <QueryDict: {}>
INFO 2025-08-13 09:10:42,220 views 6924 7316 ShopViewSet.list called with params: <QueryDict: {}>
INFO 2025-08-13 09:10:42,222 views 6924 13004 CategoryViewSet.list called with params: <QueryDict: {}>
INFO 2025-08-13 09:10:42,275 views 6924 13420 Successfully paginated 10 products
INFO 2025-08-13 09:10:42,278 views 6924 7488 Successfully paginated 20 shops
INFO 2025-08-13 09:10:42,288 views 6924 15728 Successfully returned 4 colors
INFO 2025-08-13 09:10:42,356 views 6924 11160 Successfully returned 4 categories
INFO 2025-08-13 09:10:42,363 views 6924 7316 Successfully paginated 20 shops
INFO 2025-08-13 09:10:42,398 basehttp 6924 15728 "GET /api/colors/ HTTP/1.1" 200 780
INFO 2025-08-13 09:10:42,509 basehttp 6924 11160 "GET /api/categories/ HTTP/1.1" 200 7778
INFO 2025-08-13 09:10:42,572 views 6924 13004 Successfully returned 4 categories
INFO 2025-08-13 09:10:42,600 views 6924 15728 ColorViewSet.list called with params: <QueryDict: {}>
INFO 2025-08-13 09:10:42,613 views 6924 11160 ProductViewSet.list called with params: <QueryDict: {'page': ['1'], 'min_price': ['0'], 'max_price': ['1000']}>
INFO 2025-08-13 09:10:42,626 basehttp 6924 13004 "GET /api/categories/ HTTP/1.1" 200 7778
INFO 2025-08-13 09:10:42,698 basehttp 6924 7488 "GET /api/shops/ HTTP/1.1" 200 7671
INFO 2025-08-13 09:10:42,706 views 6924 15728 Successfully returned 4 colors
INFO 2025-08-13 09:10:42,891 basehttp 6924 15728 "GET /api/colors/ HTTP/1.1" 200 780
INFO 2025-08-13 09:10:42,948 basehttp 6924 7316 "GET /api/shops/ HTTP/1.1" 200 7671
INFO 2025-08-13 09:10:42,956 views 6924 11160 Successfully paginated 10 products
INFO 2025-08-13 09:10:43,027 basehttp 6924 13420 "GET /api/products/?page=1&min_price=0&max_price=1000 HTTP/1.1" 200 15920
INFO 2025-08-13 09:10:43,176 basehttp 6924 11160 "GET /api/products/?page=1&min_price=0&max_price=1000 HTTP/1.1" 200 15920
INFO 2025-08-13 09:10:45,976 views 6924 16848 ProductViewSet.retrieve called with slug: innovative-24hour-superstructure
INFO 2025-08-13 09:10:46,001 views 6924 16848 Successfully retrieved product: Innovative 24hour superstructure
INFO 2025-08-13 09:10:46,066 basehttp 6924 16848 "GET /api/products/innovative-24hour-superstructure/ HTTP/1.1" 200 1642
INFO 2025-08-13 09:11:41,913 basehttp 6924 11848 "GET /api/coupons HTTP/1.1" 301 0
INFO 2025-08-13 09:11:43,058 basehttp 6924 7028 "GET /api/coupons/ HTTP/1.1" 200 14138
WARNING 2025-08-13 09:11:44,763 log 6924 7028 Not Found: /favicon.ico
WARNING 2025-08-13 09:11:44,765 basehttp 6924 7028 "GET /favicon.ico HTTP/1.1" 404 3947
INFO 2025-08-13 09:12:08,030 basehttp 6924 11160 "OPTIONS /api/coupons/validate/ HTTP/1.1" 200 0
WARNING 2025-08-13 09:12:08,037 log 6924 11160 Bad Request: /api/coupons/validate/
WARNING 2025-08-13 09:12:08,038 basehttp 6924 11160 "POST /api/coupons/validate/ HTTP/1.1" 400 73
INFO 2025-08-13 09:12:38,382 basehttp 6924 11160 "OPTIONS /api/coupons/validate/ HTTP/1.1" 200 0
WARNING 2025-08-13 09:12:38,388 log 6924 11160 Bad Request: /api/coupons/validate/
WARNING 2025-08-13 09:12:38,389 basehttp 6924 11160 "POST /api/coupons/validate/ HTTP/1.1" 400 73
INFO 2025-08-13 09:12:55,174 basehttp 6924 11160 "OPTIONS /api/coupons/validate/ HTTP/1.1" 200 0
WARNING 2025-08-13 09:12:55,180 log 6924 11160 Bad Request: /api/coupons/validate/
WARNING 2025-08-13 09:12:55,181 basehttp 6924 11160 "POST /api/coupons/validate/ HTTP/1.1" 400 73
INFO 2025-08-13 09:13:06,496 basehttp 6924 7028 "GET /admin/orders/coupon/ HTTP/1.1" 200 131905
INFO 2025-08-13 09:13:06,701 basehttp 6924 7028 "GET /static/unfold/fonts/inter/styles.css HTTP/1.1" 304 0
INFO 2025-08-13 09:13:06,735 basehttp 6924 7028 "GET /static/unfold/fonts/material-symbols/styles.css HTTP/1.1" 304 0
INFO 2025-08-13 09:13:06,747 basehttp 6924 12832 "GET /static/unfold/css/styles.css HTTP/1.1" 304 0
INFO 2025-08-13 09:13:06,764 basehttp 6924 11880 "GET /static/unfold/css/simplebar/simplebar.css HTTP/1.1" 304 0
INFO 2025-08-13 09:13:06,771 basehttp 6924 13224 "GET /static/unfold/js/app.js HTTP/1.1" 304 0
INFO 2025-08-13 09:13:06,780 basehttp 6924 3612 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-08-13 09:13:06,786 basehttp 6924 11880 "GET /static/unfold/js/htmx/htmx.js HTTP/1.1" 304 0
INFO 2025-08-13 09:13:06,790 basehttp 6924 12832 "GET /static/unfold/js/simplebar/simplebar.js HTTP/1.1" 304 0
INFO 2025-08-13 09:13:06,796 basehttp 6924 7028 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-13 09:13:06,814 basehttp 6924 13224 "GET /static/unfold/js/chart/chart.js HTTP/1.1" 304 0
INFO 2025-08-13 09:13:06,951 basehttp 6924 13224 "GET /static/unfold/js/alpine/alpine.anchor.js HTTP/1.1" 304 0
INFO 2025-08-13 09:13:06,951 basehttp 6924 7028 "GET /static/unfold/js/alpine/alpine.persist.js HTTP/1.1" 304 0
